,Failure_ID,Device_Type,Brand,Model_Name,Usage_Duration,Failure_Type,Warranty_Status,Repair_Cost,Customer_Rating,Comments
0,FAIL00001,Smartwatch,Dell,Model-637,47.0,Battery Issue,No,1638.42,1.2,Perfect repair
1,FAIL00002,Gaming Console,OnePlus,Model-873,21.0,Overheating,Yes,3137.3,2.6,Fixed quickly
2,FAIL00003,Smartphone,HP,Model-543,16.0,Screen Crack,No,4252.81,1.1,Fixed quickly
3,FAIL00004,Laptop,Sony,Model-352,11.0,Screen Crack,No,3115.47,2.4,Fixed quickly
4,FAIL00005,Gaming Console,OnePlus,Model-538,6.0,Software Crash,Yes,939.52,4.1,Not satisfied
5,FAIL00006,Laptop,Apple,Model-805,51.0,Software Crash,No,2550.34,4.2,Very bad service
6,FAIL00007,Laptop,OnePlus,Model-274,19.0,Speaker Malfunction,Yes,1340.16,2.5,Very bad service
8,FAIL00009,Smartphone,Dell,Model-971,56.0,Software Crash,No,487.26,3.5,Perfect repair
10,FAIL00011,Gaming Console,Apple,Model-888,44.0,Speaker Malfunction,No,3139.61,3.2,Had to replace
11,FAIL00012,Gaming Console,Lenovo,Model-844,10.0,Overheating,Yes,1970.02,3.5,Very bad service
12,FAIL00013,Laptop,Dell,Model-637,55.0,Speaker Malfunction,Yes,1789.92,2.8,Not satisfied
13,FAIL00014,Tablet,Dell,Model-860,12.0,Software Crash,No,2946.63,4.8,Not satisfied
14,FAIL00015,Laptop,OnePlus,Model-871,49.0,Software Crash,No,3393.41,4.5,Fixed quickly
15,FAIL00016,Smartphone,Sony,Model-454,33.0,Screen Crack,Yes,1248.62,3.8,Fixed quickly
16,FAIL00017,Tablet,HP,Model-295,15.0,Overheating,No,2799.68,3.3,Perfect repair
17,FAIL00018,Tablet,HP,Model-464,12.0,Screen Crack,Yes,4298.33,3.8,Perfect repair
18,FAIL00019,Tablet,Dell,Model-280,50.0,Battery Issue,Yes,4070.57,4.3,Perfect repair
